title,publisher,issn,issn_l,issns,date_removed,reason
Makara Journal of Health Research,University of Indonesia,2356-3656,2356-3656,2356-3656|2356-3664,2021-06-14,Journal not adhering to Best practice
\u041f\u0440\u0438\u043d\u0446\u0438\u043f\u044b \u044d\u043a\u043e\u043b\u043e\u0433\u0438\u0438,Petrozavodsk State University,2304-6465,2304-6465,2304-6465,2021-06-14,Journal not adhering to Best practice
Makara Seri Kesehatan,University of Indonesia,1693-6728,1693-6728,1693-6728,2021-06-14,Journal not adhering to Best practice
T\u00fcrkderm,Galenos Yayincilik,1019-214X,1019-214X,1019-214X,2021-06-14,Journal not adhering to Best practice
Apuntes Universitarios,"Direcci\u00f3n General de Investigaci\u00f3n, Universidad Peruana Uni\u00f3n",2304-0335,2225-7136,2225-7136|2304-0335,2021-06-11,Journal not adhering to Best practice
Jurnal Cakrawala Hukum,University Merdeka Malang,2356-4962,2356-4962,2356-4962|2598-6538,2021-06-08,Journal not adhering to Best practice
Revista Tempo do Mundo,,2176-7025,2176-7025,2176-7025|2675-150X,2021-06-07,Journal not adhering to Best practice
Turkish Journal of Obstetrics and Gynecology,Galenos Yayinevi,2149-9322,2149-9330,2149-9322|2149-9330,2021-06-07,Journal not adhering to Best practice
N\u00fckleer T\u0131p Seminerleri,Galenos Yayinevi,2149-6447,2149-6447,2149-6447,2021-06-07,Journal not adhering to Best practice
\u00dcroonkoloji B\u00fclteni,Galenos Yayinevi,2147-2122,2147-2270,2147-2122|2147-2270,2021-06-07,Journal not adhering to Best practice
\u00dcroonkoloji B\u00fclteni,Galenos Yayinevi,2147-2122,2147-2270,2147-2122|2147-2270,2021-06-07,Journal not adhering to Best practice
\u00c7ocuk ve Gen\u00e7lik Ruh Sa\u011fl\u0131\u011f\u0131 Dergisi,Galenos Yayinevi,1301-3904,1301-3904,1301-3904|2687-3532,2021-06-07,Journal not adhering to Best practice
T\u00fcrk N\u00f6roloji Dergisi,Galenos Yayinevi,1301-062X,1301-062X,1301-062X|1309-2545,2021-06-07,Journal not adhering to Best practice
T\u00fcrk N\u00f6roloji Dergisi,Galenos Yayinevi,1301-062X,1301-062X,1301-062X|1309-2545,2021-06-07,Journal not adhering to Best practice
Ankara \u00dcniversitesi T\u0131p Fak\u00fcltesi Mecmuas,Galenos Yayinevi,0365-8104,0365-8104,0365-8104,2021-06-07,Journal not adhering to Best practice
Humanities and Social Sciences,Rzesz\u00f3w University of Technology,2300-5327,2300-5327,2300-5327|2300-9918,2021-06-04,Journal not adhering to Best practice
Revista de Pol\u00edticas P\u00fablicas e Seguran\u00e7a Social,,2594-3855,2594-3855,2594-3855,2021-06-03,Web site URL no longer works
Arctic Yearbook,Northern Research Forum,2298-2418,2298-2418,2298-2418,2021-06-03,Web site URL no longer works
Sibirya Arastirmalari Dergisi,Sada Institute of Art and Language Studies,2147-8104,2147-8104,2147-8104,2021-06-03,Web site URL no longer works
Revista Tempos Hist\u00f3ricos,State University of West Paran\u00e1,1517-4689,1517-4689,1517-4689|1983-1463,2021-06-02,Web site URL no longer works
"International Journal of Financial, Accounting, and Management",,2656-3355,2656-3355,2656-3355,2021-06-01,Journal not adhering to Best practice
Pattimura Law Journal,University of Pattimura,2527-7316,2527-7316,2527-7308|2527-7316,2021-06-01,Web site URL no longer works
Boletim do Museu de Biologia Mello Leit\u00e3o,Museu de Biologia Professor Mello Leit\u00e3o,2318-9444,0103-9121,0103-9121|2318-9444,2021-06-01,Web site URL no longer works
Escritas do Tempo,,2674-7758,2674-7758,2674-7758,2021-05-26,Journal not adhering to Best practice
Revista Espamciencia,Escuela Superior Polit\u00e9cnica Agropecuaria de Manab\u00ed Manuel F\u00e9lix L\u00f3pez,1390-597X,1390-597X,1390-597X|1390-8103,2021-05-26,Journal not adhering to Best practice
Leonardo Journal of Sciences,AcademicDirect,1583-0233,1583-0233,1583-0233|1842-9882,2021-05-25,Ceased publishing
Mathematica \u00c6terna,,1314-3344,1314-3336,1314-3336|1314-3344,2021-05-18,Journal not adhering to Best practice
Ciencias de la Informaci\u00f3n,Instituto de Informaci\u00f3n Cient\u00edfica Tecnol\u00f3gica (IDICT),0864-4659,0864-4659,0864-4659|1606-4925,2021-05-16,Web site URL no longer works
Journal f\u00fcr Psychoanalyse,Seismo Verlag,2297-878X,1613-4702,1613-4702|2297-878X,2021-05-12,Journal not adhering to Best practice
Revista Paranaense de Educa\u00e7\u00e3o Matem\u00e1tica,,2238-5800,2238-5800,2238-5800,2021-05-11,Journal not adhering to Best practice
Revista Brasileira de Hist\u00f3ria das Religi\u00f5es,National History Association,1983-2850,1983-2850,1983-2850,2021-05-11,Website URLs have security issues
Arquivos do Mudi,Universidade Estadual de Maring\u00e1,1980-959X,1980-959X,1980-959X,2021-05-11,Website URLs have security issues
Revista Tecnol\u00f3gica,Universidade Estadual de Maring\u00e1,1517-8048,1517-8048,1517-8048|2447-2476,2021-05-11,Website URLs have security issues
International Journal of Mosquito Research,Innovative Journal Solutions,2348-5906,2348-5906,2348-5906|2348-7941,2021-05-06,Journal not adhering to Best practice
International Journal of Pharmacological Research,Bharati Biomedical and Advance Research Centre,2277-3312,2277-3312,2277-3312,2021-05-06,Journal not adhering to Best practice
Arab World English Journal,Arab World English Journal,2229-9327,2229-9327,2229-9327,2021-05-05,Journal not adhering to Best practice
"\u0412\u0456\u0441\u043d\u0438\u043a \u041d\u0430\u0446\u0456\u043e\u043d\u0430\u043b\u044c\u043d\u043e\u0433\u043e \u0442\u0435\u0445\u043d\u0456\u0447\u043d\u043e\u0433\u043e \u0443\u043d\u0456\u0432\u0435\u0440\u0441\u0438\u0442\u0435\u0442\u0443 ""\u0425\u041f\u0406"": \u0421\u0435\u0440\u0456\u044f: \u0421\u0438\u0441\u0442\u0435\u043c\u043d\u0438\u0439 \u0430\u043d\u0430\u043bi\u0437, \u0443\u043f\u0440\u0430\u0432\u043b\u0456\u043d\u043d\u044f \u0442\u0430 i\u043d\u0444\u043e\u0440\u043c\u0430\u0446i\u0439\u043di \u0442\u0435\u0445\u043d\u043e\u043b\u043e\u0433i\u0457","National Technical University ""Kharkiv Polytechnic Institute""",2079-0023,2079-0023,2079-0023|2410-2857,2021-05-05,Journal not adhering to Best practice
Asian International Journal of Social Sciences,,2539-6102,2539-6102,2539-6102,2021-05-03,Web site URL no longer works
Drug Development and Therapeutics,Medknow,2394-2002,2394-2002,2394-2002|2394-6555,2021-05-03,Journal not adhering to Best practice
APOS Trends in Orthodontics,Medknow,2321-1407,2321-1407,2321-1407|2321-4600,2021-05-03,Journal not adhering to Best practice
Journal of Soft Computing and Applications,International Scientific Publications and Consulting Services (ISPACS),2195-576X,2195-576X,2195-576X,2021-05-03,Web site URL no longer works
Data Envelopment Analysis and Decision Science,International Scientific Publications and Consulting Services (ISPACS),2195-4496,2195-4496,2195-4496,2021-05-03,Web site URL no longer works
Mathematics Education Trends and Research,International Scientific Publications and Consulting Services (ISPACS),2195-4372,2195-4372,2195-4372,2021-05-03,Web site URL no longer works
Journal of Interpolation and Approximation in Scientific Computing,International Scientific Publications and Consulting Services (ISPACS),2194-3907,2194-3907,2194-3907,2021-05-03,Web site URL no longer works
Communications in Numerical Analysis,International Scientific Publications and Consulting Services (ISPACS),2193-4215,2193-4215,2193-4215,2021-05-03,Web site URL no longer works
Journal of Fuzzy Set Valued Analysis,International Scientific Publications and Consulting Services (ISPACS),2193-4169,2193-4169,2193-4169,2021-05-03,Web site URL no longer works
Journal of Nonlinear Analysis and Application,International Scientific Publications and Consulting Services (ISPACS),2193-3472,2193-3472,2193-3472,2021-05-03,Web site URL no longer works
Chronicles of Young Scientists,Medknow,0975-9212,0975-9212,0975-9212|2229-5186,2021-05-03,Journal not adhering to Best practice
Freshwater Metadata Journal,"University of Natural Resources and Life Sciences, Institute of Hydrobiology and Aquatic Ecosystem Management, BOKU - Vienna",2312-6604,2312-6604,2312-6604,2021-04-28,Journal not adhering to Best practice
Journal of Veterinary Medicine,Hindawi Publishing Corporation,2314-6966,2314-6966,2314-6966|2356-7708,2021-04-27,Ceased publishing
Neuroscience Journal,Hindawi Publishing Corporation,2314-4270,2314-4262,2314-4262|2314-4270,2021-04-27,Ceased publishing
Journal of Pharmaceutics,Hindawi Publishing Corporation,2090-7818,2090-9918,2090-7818|2090-9918,2021-04-27,Ceased publishing
Child Development Research,Hindawi Publishing Corporation,2090-3995,2090-3995,2090-3987|2090-3995,2021-04-27,Ceased publishing
Genetics Research International,Hindawi Publishing Corporation,2090-3162,2090-3162,2090-3154|2090-3162,2021-04-27,Ceased publishing
Journal of Drug Delivery,Hindawi Publishing Corporation,2090-3022,2090-3022,2090-3014|2090-3022,2021-04-27,Ceased publishing
International Journal of Medicinal Chemistry,Hindawi Publishing Corporation,2090-2077,2090-2077,2090-2069|2090-2077,2021-04-27,Ceased publishing
Enzyme Research,Hindawi Publishing Corporation,2090-0414,2090-0414,2090-0406|2090-0414,2021-04-27,Ceased publishing
Malaria Research and Treatment,Hindawi Publishing Corporation,2044-4362,2044-4362,2044-4362|2090-8075,2021-04-27,Ceased publishing
Advances in Bioinformatics,Hindawi Publishing Corporation,1687-8035,1687-8027,1687-8027|1687-8035,2021-04-27,Ceased publishing
Advances in Acoustics and Vibration,Hindawi Publishing Corporation,1687-627X,1687-6261,1687-6261|1687-627X,2021-04-27,Ceased publishing
Advances in OptoElectronics,Hindawi Publishing Corporation,1687-5648,1687-563X,1687-563X|1687-5648,2021-04-27,Ceased publishing
European Archives of Medical Research,Galenos Yayinevi,2651-3153,2651-3153,2651-3153,2021-04-26,Journal not adhering to Best practice
Turkish Journal of Colorectal Disease,Galenos Yayinevi,2536-4898,2536-4901,2536-4898|2536-4901,2021-04-26,Journal not adhering to Best practice
Spanish Journal of Soil Science,Universia,2253-6574,2253-6574,2253-6574,2021-04-26,Web site URL no longer works
Meandros Medical and Dental Journal,Galenos Yayinevi,2149-9063,2149-9063,2149-9063,2021-04-26,Journal not adhering to Best practice
Journal of Animal and Plant Sciences,"ELEWA BIOSCIENCES, F.a.C.T.LTD",2071-7024,2071-7024,2071-7024,2021-04-26,Journal not adhering to Best practice
Journal of Applied Biosciences,"ELEWA BIOSCIENCES, F.a.C.T.LTD",1997-5902,1997-5902,1997-5902,2021-04-26,Journal not adhering to Best practice
Svensk exegetisk \u00e5rsbok,Svenska exegetiska s\u00e4llskapet (Swedish Exegetical Society),1100-2298,1100-2298,1100-2298|2001-9424,2021-04-26,Journal not adhering to Best practice
"Engaging Science, Technology, and Society",Society for Social Studies of Science,2413-8053,2413-8053,2413-8053,2021-04-23,Journal is no longer Open Access
BAF-Online,University of Bern,2504-2076,2504-2076,2504-2076,2021-04-21,Inactive (has not published in the last calendar year)
Journal f\u00fcr Mineralstoffwechsel & Muskuloskelettale Erkrankungen,Springer Nature,2412-8260,2412-8260,2412-8260|2412-8287,2021-04-20,Journal is no longer Open Access
O A R: The Oxford Artistic and Practice Based Research Platform,,2399-5092,2399-5092,2399-5092,2021-04-20,Inactive (has not published in the last calendar year)
Journal of New Frontiers in Spatial Concepts,,1868-6648,1868-6648,1868-6648,2021-04-20,Ceased publishing
querelles-net,Zentraleinrichtung zur F\u00f6rderung von Frauen- und Geschlechterforschung,1862-054X,1862-054X,1862-054X,2021-04-20,Inactive (has not published in the last calendar year)
EBIB Bulletin,EBIB Association,1507-7187,1507-7187,1507-7187,2021-04-20,Web site URL no longer works
Education Review,Arizona State University,1094-5296,1094-5296,1094-5296,2021-04-20,Not a research journal
Journal f\u00fcr Mineralstoffwechsel,,1023-7763,1023-7763,1023-7763|1680-9408,2021-04-20,Journal is no longer Open Access
The Covenant Quarterly,,2380-8829,0361-0934,0361-0934|2380-8829,2021-04-20,Journal not adhering to Best practice
Advances in Chemical Research,,2692-0344,2692-0344,2692-0344,2021-04-16,Journal not adhering to Best practice
Journal of Energy and Power Technology,,2690-1692,2690-1692,2690-1692,2021-04-16,Journal not adhering to Best practice
Recent Progress in Materials,,2689-5846,2689-5846,2689-5846,2021-04-16,Journal not adhering to Best practice
OBM Geriatrics,,2638-1311,2638-1311,2638-1311,2021-04-16,Journal not adhering to Best practice
OBM Transplantation,,2577-5820,2577-5820,2577-5820,2021-04-16,Journal not adhering to Best practice
OBM Hepatology and Gastroenterology,,2577-5804,2577-5804,2577-5804,2021-04-16,Journal not adhering to Best practice
OBM Genetics,,2577-5790,2577-5790,2577-5790,2021-04-16,Journal not adhering to Best practice
OBM Neurobiology,,2573-4407,2573-4407,2573-4407,2021-04-16,Journal not adhering to Best practice
OBM Integrative and Complementary Medicine,,2573-4393,2573-4393,2573-4393,2021-04-16,Journal not adhering to Best practice
Qiguan Yizhi,,1674-7445,1674-7445,1674-7445,2021-04-16,Journal not adhering to Best practice
Journal of Arts and Humanities,MIR Center Press,2167-9053,2167-9045,2167-9045|2167-9053,2021-04-15,Journal not adhering to Best practice
International Journal of Business and Social Research,MIR Center for Socio-Economic Research,2164-2559,2164-2540,2164-2540|2164-2559,2021-04-15,Journal not adhering to Best practice
Revista Caribe\u00f1a de Ciencias Sociales,Servicios Academicos Intercontinentales,2254-7630,2254-7630,2254-7630,2021-04-14,Journal not adhering to Best practice
Journal of Biomedical Informatics: X,Elsevier BV,2590-177X,2590-177X,2590-177X,2021-04-13,Ceased publishing
Gene: X,Elsevier BV,2590-1583,2590-1583,2590-1583,2021-04-13,Ceased publishing
Journal of Biotechnology: X,Elsevier BV,2590-1559,2590-1559,2590-1559,2021-04-13,Ceased publishing
Chemical Physics Letters: X,Elsevier BV,2590-1419,2590-1419,2590-1419,2021-04-13,Ceased publishing
Veterinary Parasitology: X,Elsevier BV,2590-1389,2590-1389,2590-1389,2021-04-13,Ceased publishing
Medical Journal of Chinese People's Liberation Army,Editorial Board of Medical Journal of Chinese People's Liberation Army,0577-7402,0577-7402,0577-7402,2021-04-13,Journal not adhering to Best practice
Education and Health,Schools Health Education Unit,2049-3665,0265-1602,0265-1602|2049-3665,2021-04-13,Ceased publishing
Turkish Online Journal of English Language Teaching,Turkish Online Journal of Qualitative Inquiry (TOJQI),2458-9918,2458-9918,2458-9918,2021-04-09,Journal not adhering to Best practice
Global Journal of Hospital Administration,New Century Science Press Limited,2375-4060,2309-3609,2309-3609|2375-4060,2021-04-08,Inactive (has not published in the last calendar year)
Life Science,State University of Semarang,2252-6277,2252-6277,2252-6277|2528-5009,2021-04-08,Journal not adhering to Best practice
Journal of Language and Linguistic Studies,Hacettepe University,1305-578X,1305-578X,1305-578X,2021-04-08,Journal not adhering to Best practice
Revista Expectativa,State University of West Paran\u00e1,1676-045X,1676-045X,1676-045X|1982-3029,2021-04-07,Journal not adhering to Best practice
Revista Portuguesa de Educa\u00e7\u00e3o Art\u00edstica,Dire\u00e7\u00e3o de Servi\u00e7os de Educa\u00e7\u00e3o Art\u00edstica e Multim\u00e9dia,1647-905X,1647-905X,1647-905X|2183-7481,2021-04-07,Journal not adhering to Best practice
Linhas Cr\u00edticas,University of Bras\u00edlia,1516-4896,1516-4896,1516-4896|1806-3454|1806-3462|1981-0431,2021-04-07,Journal not adhering to Best practice
\u0130ktisadi \u0130dari ve Siyasal Ara\u015ft\u0131rmalar Dergisi,\u0130ktisadi \u0130dari ve Siyasal Ara\u015ft\u0131rmalar Dergisi,2564-7466,2564-7466,2564-7466,2021-04-01,Journal not adhering to Best practice
Ko\u015fuyolu Heart Journal,,2149-2972,2149-2980,2149-2972|2149-2980,2021-04-01,Journal not adhering to Best practice
"Indian Journal of Dermatology, Venereology and Leprology",Medknow,0973-3922,0378-6323,0378-6323|0973-3922,2021-04-01,Journal not adhering to Best practice
Radiology of Infectious Diseases,Elsevier BV,2352-6211,2352-6211,2352-6211|2352-622X,2021-03-30,Web site URL no longer works
Mass Communication Research,,1016-1007,1016-1007,1016-1007,2021-03-30,Journal not adhering to Best practice
Regeneration,Wiley,2052-4412,2052-4412,2052-4412,2021-03-26,Ceased publishing
"Health, Culture And Society","University Library System, University of Pittsburgh",2161-6590,2161-6590,2161-6590,2021-03-25,Ceased publishing
De Zeventiende Eeuw: Cultuur in de Nederlanden in Interdisciplinair Perspectief,Utrecht University Library Open Access Journals (Publishing Services),2212-7402,0921-142X,0921-142X|2212-7402,2021-03-24,Ceased publishing
Vestnik severo-zapadnogo gosudarstvennogo medicinskogo universiteta im. I.I. Me\u010dnikova,,2618-7116,2618-7116,2618-7116|2618-9704,2021-03-23,Journal is no longer Open Access
